country,iso3,variable,value_2011,source_2011,nearest_year_to_2011,nearest_value_to_2011,value_2021,source_2021,nearest_year_to_2021,nearest_value_to_2021
Slovenia,SVN,population,2052843,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,2108079,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Slovenia,SVN,foreign_born,228588,Eurostat [migr_pop3ctb],,,292824,Eurostat [migr_pop3ctb],,
Slovenia,SVN,foreign_nationals,82746,Eurostat [migr_pop1ctz],,,168651,Eurostat [migr_pop1ctz],,
South Africa,ZAF,population,52995205,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,61502603,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
South Africa,ZAF,foreign_born,2184408,Statistics South Africa - Census 2011 (as tabulated in the Census 2022 Statistical Release P0301.4),,,,,2020,2639076
South Africa,ZAF,foreign_nationals,,,,,,,,
Spain,ESP,population,46742697,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,47443821,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Spain,ESP,foreign_born,6282205,Eurostat [migr_pop3ctb],,,7254797,Eurostat [migr_pop3ctb],,
Spain,ESP,foreign_nationals,5312439,Eurostat [migr_pop1ctz],,,5402702,Eurostat [migr_pop1ctz],,
Suriname,SUR,population,556269,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,617896,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Suriname,SUR,foreign_born,,,2010,39713,,,2020,47801
Suriname,SUR,foreign_nationals,,,2012,36393,,,2012,36393
Sweden,SWE,population,9449213,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,10415811,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Sweden,SWE,foreign_born,1384111,Eurostat [migr_pop3ctb],,,2045234,Eurostat [migr_pop3ctb],,
Sweden,SWE,foreign_nationals,622275,Eurostat [migr_pop1ctz],,,892254,Eurostat [migr_pop1ctz],,
Switzerland,CHE,population,7912398,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,8704546,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Switzerland,CHE,foreign_born,1940349,Eurostat [migr_pop3ctb],,,2553225,Eurostat [migr_pop3ctb],,
Switzerland,CHE,foreign_nationals,1765750,Eurostat [migr_pop1ctz],,,2208864,Eurostat [migr_pop1ctz],,
Taiwan,TWN,population,23225000,"內政部統計處 內政統計年報 108年版 (MOI Dept. of Statistics, Statistical Yearbook of Interior, 2019 ed.)",,,23375314,"內政部統計處 內政統計月報 115年5月 (MOI Dept. of Statistics, Monthly Bulletin of Interior Statistics, May 2026)",,
Taiwan,TWN,foreign_born,,,,,,,,
Taiwan,TWN,foreign_nationals,,,2012,483921,752900,"Taiwan Ministry of the Interior, Department of Statistics (內政統計通報), foreign residents 外僑居留人數",,
Thailand,THA,population,69007208,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,71727332,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Thailand,THA,foreign_born,,,2010,2640454,,,2020,3015007
Thailand,THA,foreign_nationals,,,2018,4898461,,,2018,4898461
Turkey,TUR,population,74223629,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,84147318,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Turkey,TUR,foreign_born,,,2014,1459775,3141351,"OECD International Migration Database (stocks of foreign-born population, measure B14)",,
Turkey,TUR,foreign_nationals,190531,"OECD International Migration Database (stocks of foreign population, measure B15)",,,1792036,"OECD International Migration Database (stocks of foreign population, measure B15)",,
United Kingdom,GBR,population,63258810,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,66978000,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
United Kingdom,GBR,foreign_born,7342547,Eurostat [migr_pop3ctb],,,9600000,"ONS, Population of the UK by country of birth and nationality",,
United Kingdom,GBR,foreign_nationals,4546862,Eurostat [migr_pop1ctz],,,6000000,"ONS, Population of the UK by country of birth and nationality",,
United States,USA,population,311839461,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,332100166,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
United States,USA,foreign_born,40381570,"OECD International Migration Database (stocks of foreign-born population, measure B14)",,,45272945,"OECD International Migration Database (stocks of foreign-born population, measure B14)",,
United States,USA,foreign_nationals,22225536,"OECD International Migration Database (stocks of foreign population, measure B15)",,,22164662,"OECD International Migration Database (stocks of foreign population, measure B15)",,
"Amber columns are NOT the target year. They show the nearest year with data, so you can see how far the closest observation sits from 2011/2021. Nothing here is interpolated.",,,,,,,,,,
